  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
4,196,       00:41:13 ,82.81%,86.18%,0.5247,0.3744,0.0034
4,197,       00:41:25 ,81.25%,87.22%,0.4939,0.3775,0.0034
4,198,       00:41:37 ,90.62%,86.88%,0.3522,0.3649,0.0034
4,199,       00:41:52 ,89.06%,86.74%,0.6721,0.3722,0.0034
4,200,       00:42:04 ,81.25%,86.81%,0.4397,0.3824,0.0034
4,201,       00:42:18 ,81.25%,87.64%,0.4425,0.3686,0.0034
4,202,       00:42:32 ,92.19%,87.43%,0.2142,0.3875,0.0034
4,203,       00:42:46 ,85.94%,87.08%,0.515,0.4176,0.0034
4,204,       00:43:00 ,82.81%,87.64%,0.5054,0.4079,0.0034
4,205,       00:43:14 ,84.38%,87.99%,0.525,0.4007,0.0034
4,206,       00:43:27 ,82.81%,87.43%,0.4224,0.4081,0.0034
4,207,       00:43:42 ,73.44%,87.57%,0.5394,0.373,0.0034
4,208,       00:43:55 ,92.19%,87.99%,0.346,0.3725,0.0034
5,209,       00:44:09 ,85.94%,87.99%,0.3882,0.37,0.0034
5,210,       00:44:22 ,93.75%,86.88%,0.2447,0.3752,0.0034
5,211,       00:44:36 ,87.50%,87.85%,0.4617,0.3731,0.0034
5,212,       00:44:49 ,84.38%,86.53%,0.4022,0.3989,0.0034
5,213,       00:45:03 ,84.38%,86.67%,0.4448,0.402,0.0034
5,214,       00:45:17 ,82.81%,86.04%,0.5213,0.4079,0.0034
5,215,       00:45:31 ,82.81%,86.32%,0.524,0.3889,0.0034
5,216,       00:45:46 ,90.62%,87.99%,0.2855,0.3707,0.0034
5,217,       00:46:00 ,82.81%,86.88%,0.6007,0.4008,0.0034
5,218,       00:46:14 ,89.06%,85.56%,0.3807,0.4393,0.0034
5,219,       00:46:28 ,87.50%,86.39%,0.4721,0.4085,0.0034
5,220,       00:46:42 ,85.94%,86.74%,0.4468,0.4182,0.0034
5,221,       00:46:56 ,82.81%,87.71%,0.5369,0.3951,0.0034
5,222,       00:47:09 ,81.25%,87.85%,0.5056,0.4044,0.0034
5,223,       00:47:23 ,79.69%,88.26%,0.5646,0.354,0.0034
5,224,       00:47:36 ,84.38%,86.60%,0.4357,0.3744,0.0034
5,225,       00:47:50 ,89.06%,86.11%,0.3072,0.4048,0.0034
5,226,       00:48:03 ,85.94%,84.31%,0.386,0.4314,0.0034
5,227,       00:48:17 ,75.00%,84.38%,0.5521,0.4339,0.0034
5,228,       00:48:31 ,84.38%,85.49%,0.4519,0.432,0.0034
5,229,       00:48:45 ,84.38%,85.90%,0.4311,0.4014,0.0034
5,230,       00:48:58 ,87.50%,87.92%,0.3687,0.3836,0.0034
5,231,       00:49:11 ,85.94%,86.04%,0.5,0.4118,0.0034
5,232,       00:49:25 ,81.25%,87.71%,0.598,0.3969,0.0034
5,233,       00:49:39 ,84.38%,85.90%,0.4612,0.4238,0.0034
5,234,       00:49:52 ,79.69%,85.49%,0.5352,0.4405,0.0034
5,235,       00:50:06 ,84.38%,86.60%,0.4064,0.3751,0.0034
5,236,       00:50:19 ,78.12%,86.60%,0.6612,0.3918,0.0034
5,237,       00:50:32 ,79.69%,85.07%,0.4854,0.4139,0.0034
5,238,       00:50:46 ,89.06%,82.71%,0.368,0.4683,0.0034
5,239,       00:50:59 ,89.06%,81.46%,0.2889,0.5255,0.0034
5,240,       00:51:13 ,84.38%,84.31%,0.5029,0.4655,0.0034
5,241,       00:51:26 ,82.81%,84.58%,0.4142,0.4703,0.0034
5,242,       00:51:38 ,81.25%,83.82%,0.573,0.4993,0.0034
5,243,       00:51:50 ,79.69%,84.17%,0.5184,0.4495,0.0034
5,244,       00:52:02 ,90.62%,86.39%,0.3473,0.4108,0.0034
5,245,       00:52:14 ,84.38%,86.53%,0.4615,0.3993,0.0034
5,246,       00:52:26 ,93.75%,85.69%,0.2167,0.4272,0.0034
5,247,       00:52:38 ,87.50%,86.11%,0.4729,0.433,0.0034
5,248,       00:52:50 ,81.25%,86.25%,0.558,0.439,0.0034
5,249,       00:53:03 ,89.06%,85.62%,0.2713,0.4514,0.0034
5,250,       00:53:14 ,92.19%,86.88%,0.2692,0.4354,0.0034
5,251,       00:53:25 ,85.94%,86.39%,0.6066,0.4385,0.0034
5,252,       00:53:36 ,89.06%,86.46%,0.2777,0.4356,0.0034
5,253,       00:53:48 ,85.94%,85.35%,0.4702,0.4517,0.0034
5,254,       00:54:02 ,81.25%,85.35%,0.4912,0.4515,0.0034
5,255,       00:54:14 ,87.50%,85.69%,0.4996,0.4425,0.0034
5,256,       00:54:27 ,87.50%,83.47%,0.4006,0.4567,0.0034
5,257,       00:54:40 ,82.81%,83.33%,0.4988,0.4558,0.0034
5,258,       00:54:54 ,82.81%,82.57%,0.374,0.4783,0.0034
5,259,       00:55:07 ,79.69%,84.72%,0.5585,0.4195,0.0034
5,260,       00:55:21 ,78.12%,86.94%,0.5871,0.3808,0.0034
6,261,       00:55:34 ,87.50%,87.99%,0.416,0.3628,0.0034
6,262,       00:55:47 ,84.38%,87.22%,0.3872,0.3997,0.0034
6,263,       00:55:58 ,84.38%,86.67%,0.4868,0.3938,0.0034
6,264,       00:56:11 ,87.50%,87.01%,0.3797,0.4064,0.0034
6,265,       00:56:23 ,79.69%,86.60%,0.6404,0.4107,0.0034
6,266,       00:56:34 ,92.19%,86.60%,0.3216,0.4037,0.0034
6,267,       00:56:45 ,87.50%,86.67%,0.3396,0.389,0.0034
6,268,       00:56:56 ,87.50%,86.04%,0.3343,0.4212,0.0034
6,269,       00:57:08 ,84.38%,85.69%,0.5623,0.4093,0.0034
6,270,       00:57:20 ,82.81%,85.90%,0.5737,0.3944,0.0034
6,271,       00:57:32 ,84.38%,86.46%,0.514,0.398,0.0034
6,272,       00:57:43 ,90.62%,86.39%,0.4217,0.3851,0.0034
6,273,       00:57:56 ,92.19%,85.62%,0.2365,0.4,0.0034
6,274,       00:58:10 ,90.62%,87.36%,0.2989,0.378,0.0034
6,275,       00:58:22 ,78.12%,86.94%,0.6127,0.3699,0.0034
6,276,       00:58:34 ,87.50%,87.85%,0.3602,0.3545,0.0034
6,277,       00:58:46 ,85.94%,87.22%,0.335,0.3734,0.0034
6,278,       00:58:58 ,81.25%,88.19%,0.4706,0.3718,0.0034
6,279,       00:59:09 ,89.06%,86.94%,0.6583,0.3783,0.0034
6,280,       00:59:21 ,78.12%,87.71%,0.5714,0.3625,0.0034
6,281,       00:59:33 ,84.38%,86.94%,0.4764,0.378,0.0034
6,282,       00:59:46 ,87.50%,87.78%,0.4396,0.3711,0.0034
6,283,       01:00:00 ,87.50%,86.74%,0.4122,0.3785,0.0034
6,284,       01:00:15 ,84.38%,86.39%,0.3862,0.3921,0.0034
6,285,       01:00:27 ,85.94%,87.29%,0.3366,0.3728,0.0034
